1 590 0 0
-321 0.126952  0.168224  0.0677418 0.54104  0.49368 0.287908 1.46438 -0.485528 12.4628
321 0.0730483  0.0317765  0.132258 0.51726  0.49368 0.270065 1.41508 -0.458243 12.468
321 0.200222  0.20005  0.404087 0.697936  0.49368 0.310667 1.47191 -0.370314 12.5059
111 -0.134223  -0.0585586  -0.0456693 0.204329  0.13498 0.108257 1.34452 -0.555678 12.4663
311 0.334223  0.258559  0.245669 0.697515  0.49761 0.342262 1.48069 -0.436174 12.4747
211 -0.468121  -0.568801  -0.0492532 0.751383  0.13957 0.118043 1.25285 -0.523392 12.4616
111 0.16795  -0.399111  -0.156982 0.479958  0.13498 0.314307 1.22891 -0.578725 12.4727
-211 -0.541367  0.627442  -0.935941 1.25787  0.13957 0.114129 1.54986 -0.730187 12.5592
321 -0.231242  0.279521  -1.15963 1.31151  0.49368 0.166761 1.49257 -0.883926 12.6863
311 1.10244  -0.723245  -0.518073 1.50149  0.49761 0.395599 1.30128 -0.582968 12.4741
211 0.0322899  -0.123817  0.0110273 0.18967  0.13957 0.27489 1.27351 -0.498939 12.4616
311 0.715792  0.667541  0.978958 1.47103  0.49761 0.369876 1.5225 -0.334502 12.5283
211 -0.09468  -0.144956  0.341124 0.407213  0.13957 0.157233 1.27392 -0.207757 12.6252
311 0.194329  -0.0950431  -0.246043 0.595777  0.49761 0.31191 1.36798 -0.599906 12.4806
-211 0.135339  -0.0318679  0.236865 0.308086  0.13957 0.376794 1.37062 -0.27319 12.5725
321 0.406148  -0.327708  1.00154 1.23254  0.49368 0.352799 1.31253 -0.235332 12.6024
-311 2.20814  0.275897  0.63605 2.36731  0.49761 0.432319 1.42642 -0.45539 12.4687
111 -1.34134  -0.274249  145.758 145.765  0.13498 0.0488527 1.36321 20.3957 33.1709
111 0.010313  -0.454187  0.184921 0.508732  0.13498 0.245534 1.21344 -0.433439 12.4757
-211 0.184873  -0.167955  -0.279496 0.39998  0.13957 0.368735 1.28671 -0.703179 12.5397
321 0.916507  -0.282566  0.61629 1.24232  0.49368 0.408895 1.35085 -0.397694 12.4912
321 0.383696  0.246743  0.0483964 0.673919  0.49368 0.353876 1.47497 -0.496223 12.4617
-321 0.617495  0.459639  0.0800545 0.917985  0.49368 0.374478 1.50172 -0.493157 12.462
321 -0.117495  0.0403608  0.419945 0.65993  0.49368 0.195699 1.41819 -0.347656 12.5197
-311 3.05569  -0.930843  -0.962851 3.37319  0.49761 0.427747 1.34573 -0.569199 12.4698
311 0.0481563  0.0880844  -0.325638 0.603103  0.49761 0.259959 1.43678 -0.637007 12.4983
-311 -0.131441  0.0986907  -0.331645 0.620178  0.49761 0.191749 1.4397 -0.635303 12.4974
321 1.06373  -0.166664  -0.429306 1.25989  0.49368 0.418443 1.37478 -0.581947 12.4738
-311 -0.294806  0.120084  0.00836623 0.590776  0.49761 0.142765 1.44265 -0.507635 12.4612
