# pT    posiE    negaE    posipx    negapx    posipy    negapy    posipz    negapz
45    0    0    0    0    0    0    0    0
55    0    0    0    0    0    0    0    0
70    14217.7    232.046    -1050.43    -6.81848    110.821    3.14351    2087.72    47.5941
90    16012.9    255.318    83.8807    -15.3442    -493.246    -30.5545    -2095.46    -75.5698
106    16571.4    228.672    611.866    36.9505    969.436    27.1971    633.201    11.551
118.5    8042.73    64.5138    -664.6    -10.0296    155.817    -9.94221    -1297.08    -2.33396
133    8157.6    84.0643    775.307    29.4408    420.736    -0.639002    887.796    11.3881
149.5    5450.52    48.7221    747.376    3.437    72.5962    -0.305054    -377.779    15.6979
167.5    3721.46    34.2086    40.7914    3.36573    6.91806    5.71539    1344.88    -0.978263
188    3656.85    45.5334    -22.0137    2.90574    350.908    7.39557    -227.554    6.40527
211    1480.05    3.89219    268.032    3.46518    225.592    -1.70119    -170.152    0.00549058
237    1381.11    2.91205    -46.7041    -0.568994    -368.282    -1.19731    -706.556    -0.144238
266    822.805    0    -127.771    0    -243.98    0    -774.405    0
298.5    356.018    1.47255    -219.71    -0.674896    202.038    0.503476    189.635    0.882332
335    0    0    0    0    0    0    0    0
376    0    0    0    0    0    0    0    0
449.5    0    0    0    0    0    0    0    0
565.5    0    0    0    0    0    0    0    0
814.5    0    0    0    0    0    0    0    0
