1 344
-311 -0.164563  -0.407559  -1.88092 1.99465  0.49761 0.0184275 0.0422697 -0.754878 12.8541 
111 0.383977  0.503173  -0.24856 0.69327  0.13498 0.184407 0.31681 -0.271653 12.4726 
321 0.51275  0.639888  -0.362541 1.02349  0.49368 0.173044 0.295315 -0.27061 12.4723 
-311 0.696516  1.46949  -0.908869 1.92826  0.49761 0.148151 0.333898 -0.301322 12.485 
111 0.12322  0.69919  -0.400214 0.826099  0.13498 0.10098 0.354302 -0.305143 12.4868 
-211 0.599527  -0.560519  0.200002 0.85621  0.13957 0.209432 0.0305453 -0.148465 12.4642 
321 0.607844  -0.468784  0.391085 0.992925  0.49368 0.198753 0.062044 -0.111315 12.4759 
321 1.60916  -0.685281  -0.301602 1.8422  0.49368 0.242052 0.0889912 -0.228616 12.4613 
-311 0.142647  0.784441  1.37573 1.66612  0.49761 0.0972844 0.328089 0.0929646 12.6111 
311 0.190238  0.77257  1.28135 1.58825  0.49761 0.107336 0.32584 0.0735529 12.5952 
-321 0.278836  0.0625202  2.18778 2.26092  0.49368 0.163791 0.185023 0.560929 13.0434 
321 0.44738  -0.0104233  2.46973 2.55803  0.49368 0.199821 0.16031 0.535505 13.0188 
111 0.22419  0.344704  -0.258143 0.503924  0.13498 0.169551 0.320558 -0.313565 12.491 
311 0.616604  3.23149  -1.32513 3.58138  0.49761 0.103903 0.35504 -0.274455 12.4737 
-311 -0.234295  -1.00959  -1.49381 1.885  0.49761 0.0271238 -0.00987869 -0.45225 12.5848 
-211 -0.600589  -0.901946  -1.1073 1.55557  0.13957 -0.0411323 0.000502303 -0.39585 12.5422 
-311 -1.06982  0.556233  -1.82742 2.24521  0.49761 -0.0944954 0.247538 -0.472302 12.6009 
311 -1.13619  0.330592  -2.18097 2.5307  0.49761 -0.107313 0.214213 -0.531115 12.6503 
-311 1.12683  2.4158  -0.298511 2.72811  0.49761 0.14933 0.339183 -0.21759 12.4598 
311 0.417996  1.20446  -0.252016 1.3916  0.49761 0.127601 0.337051 -0.232204 12.4619 
111 -1.18601  -1.6206  -3.72646 4.23529  0.13498 -0.0489346 0.00452139 -0.56119 12.6765 
-211 0.801836  0.249021  -0.110963 0.858339  0.13957 0.253227 0.221127 -0.221594 12.4602 
111 0.723223  0.896998  -0.683199 1.34634  0.13498 0.190346 0.315963 -0.312071 12.4903 
-311 0.251394  0.793937  -0.126978 0.978404  0.49761 0.118468 0.32488 -0.221696 12.4603 
311 0.726717  1.35507  -0.720265 1.76939  0.49761 0.156062 0.32884 -0.283808 12.4773 
111 2.51159  1.02107  0.385168 2.74176  0.13498 0.249901 0.237617 -0.167871 12.4606 
211 -1.88052  1.35505  -1.88453 2.99056  0.13957 -0.0924633 0.278543 -0.356009 12.5154 
-321 2.01825  0.0792289  -1.22251 2.41202  0.49368 0.258866 0.170915 -0.311884 12.4902 
111 2.80487  0.738058  -2.33516 3.72602  0.13498 0.257954 0.213555 -0.354566 12.5145 
211 -0.105556  1.47977  -1.01588 1.80343  0.13957 0.0533578 0.359351 -0.330394 12.5001 
111 -0.085511  -0.0401085  -0.207983 0.265325  0.13498 -0.0350842 0.115357 -0.444978 12.579 
-311 2.32536  -4.09917  -2.61449 5.41236  0.49761 0.164158 -0.00728273 -0.30473 12.4866 
311 0.644582  -1.32897  -0.984769 1.84365  0.49761 0.14894 -0.00485131 -0.320541 12.4947 
-311 1.14891  -0.783452  -1.23558 1.92564  0.49761 0.220829 0.0587282 -0.360941 12.5185 
111 0.685055  -1.13185  -1.69369 2.15341  0.13498 0.16898 -0.00453999 -0.447167 12.5808 
211 -0.857601  0.657753  0.347724 1.1439  0.13957 -0.0879464 0.282493 -0.132908 12.4684 
-211 -0.659045  -0.0802817  -0.182192 0.702467  0.13957 -0.124347 0.140047 -0.248859 12.4656 
-211 -0.0215025  -0.0257647  0.0860488 0.167363  0.13957 0.0377785 0.12798 -0.0775867 12.4913 
-211 0.0873104  -1.83622  -0.734751 1.98461  0.13957 0.0766807 -0.0331353 -0.27451 12.4737 
321 -0.18448  -0.504157  -0.369798 0.817727  0.49368 0.0174249 0.0269976 -0.295917 12.4825 
211 -0.00354314  0.981696  0.632554 1.17616  0.13957 0.0666307 0.358751 -0.0699927 12.4953 
-211 -0.283131  0.536955  1.40134 1.53353  0.13957 -0.022358 0.3335 0.248065 12.7471 
