1 2366
-321 0.0815978  0.132565  0.0293246 0.51847  0.49368 0.44893 1.21171 -1.68569 12.3105
321 0.118402  0.0674353  0.170675 0.53983  0.49368 0.463444 1.18716 -1.63111 12.3209
-211 0.29856  0.0928631  -0.0180119 0.342879  0.13957 0.589879 1.21469 -1.70725 12.3105
321 -0.0985597  0.107137  0.218012 0.558965  0.49368 0.380041 1.20225 -1.61329 12.3272
-311 -0.0561684  0.00127196  0.00637365 0.500812  0.49761 0.395693 1.16168 -1.69436 12.3102
111 0.256168  0.198728  0.193626 0.401031  0.13498 0.561756 1.27283 -1.58808 12.3382
321 0.1169  0.277351  0.378594 0.691117  0.49368 0.45772 1.25583 -1.56766 12.3487
311 0.117619  0.276681  0.377048 0.692941  0.49761 0.457746 1.25508 -1.5689 12.3481
211 0.115493  0.278738  -0.0446877 0.335426  0.13957 0.486378 1.32662 -1.72339 12.312
311 0.0845065  -0.078738  0.244688 0.566418  0.49761 0.450468 1.13076 -1.60235 12.3317
111 0.109701  0.284174  0.394265 0.516191  0.13498 0.482794 1.32947 -1.46337 12.4186
211 0.109973  0.28392  0.393679 0.516882  0.13957 0.482613 1.32844 -1.46494 12.4174
211 -0.113897  0.0367008  0.30022 0.352039  0.13957 0.295581 1.20057 -1.37464 12.4907
-211 0.313897  0.163299  -0.10022 0.393347  0.13957 0.580664 1.24589 -1.74886 12.3169
211 0.215202  -0.165182  -0.00498828 0.305126  0.13957 0.557012 1.05434 -1.70009 12.3102
111 -0.0152018  0.365182  0.204988 0.44026  0.13498 0.410127 1.34612 -1.59305 12.3358
111 0.0666361  0.271521  0.316952 0.443669  0.13498 0.460178 1.33375 -1.49542 12.3949
211 0.519444  0.024535  0.411919 0.677924  0.13957 0.608189 1.17017 -1.54591 12.3613
-211 -0.0265554  0.146639  -0.131999 0.243129  0.13957 0.392162 1.30289 -1.82443 12.3478
-311 0.134013  -0.0756254  0.0592782 0.524222  0.49761 0.468594 1.13253 -1.67441 12.3115
111 0.270071  0.334293  0.381695 0.590424  0.13498 0.536129 1.30761 -1.52967 12.3715
111 -0.0896105  0.0582166  0.280419 0.32905  0.13498 0.315119 1.2279 -1.37546 12.49
311 0.0792265  -0.130141  -0.286603 0.594113  0.49761 0.447865 1.11183 -1.80554 12.3381
311 -0.228466  0.0186183  0.553683 0.778925  0.49761 0.335541 1.16788 -1.49745 12.3934
-311 -0.0644814  0.2235  -0.342849 0.647512  0.49761 0.394662 1.24146 -1.82003 12.3455
-211 0.185763  -0.130559  0.16513 0.31353  0.13957 0.555356 1.06452 -1.57461 12.345
211 -0.00183818  0.482969  0.179812 0.533924  0.13957 0.417104 1.35074 -1.62629 12.3224
-211 0.261516  -0.0764785  0.5484 0.628062  0.13957 0.586386 1.11188 -1.3434 12.5177
-211 0.25892  0.429147  0.552528 0.758929  0.13957 0.516024 1.32394 -1.48731 12.4007
321 -0.232387  0.282979  0.215813 0.651441  0.49368 0.343223 1.25202 -1.62759 12.322
111 -0.076748  0.536923  -0.227848 0.603581  0.13498 0.390731 1.35073 -1.7773 12.326
311 0.29928  0.128632  0.0161159 0.594971  0.49761 0.517117 1.20385 -1.69152 12.3103
211 -0.070983  0.299225  -0.154235 0.371271  0.13957 0.376352 1.33601 -1.78698 12.3298
111 0.565407  -0.0816651  3.75052e-05 0.587004  0.13498 0.607886 1.13373 -1.69685 12.3102
-321 0.140373  -0.151041  0.540219 0.760312  0.49368 0.469597 1.10547 -1.49763 12.3933
-311 0.267862  -0.0121523  0.0334932 0.566247  0.49761 0.511331 1.15694 -1.68517 12.3105
311 -0.0531685  -0.531965  0.587336 0.937226  0.49761 0.403461 1.01746 -1.53819 12.3661
211 -0.388262  0.790417  0.63618 1.09531  0.13957 0.331901 1.3361 -1.55608 12.3553
311 -0.160073  0.00492698  0.120768 0.536515  0.49761 0.357403 1.16304 -1.65128 12.3154
-211 -0.299742  0.442758  0.0923006 0.560249  0.13957 0.310794 1.31928 -1.66391 12.3129
321 -0.0673083  -0.235454  -0.265127 0.61154  0.49368 0.393725 1.07687 -1.7918 12.3318
-321 -0.167803  0.361255  0.246914 0.680698  0.49368 0.365628 1.27355 -1.62006 12.3246
111 -0.100465  -0.0101111  0.110298 0.201446  0.13498 0.300224 1.14934 -1.56776 12.3487
311 1.62729  -0.0285349  0.523856 1.78071  0.49761 0.606494 1.15787 -1.63613 12.3193
211 0.244338  -0.158335  -0.270851 0.42144  0.13957 0.567147 1.06441 -1.86239 12.3704
-211 -0.480074  -0.128996  0.248537 0.573029  0.13957 0.234359 1.11188 -1.60188 12.3319
-311 0.536052  -0.281303  -0.564609 0.965858  0.49761 0.552802 1.09035 -1.83903 12.3561
-211 0.121683  -0.0751898  0.116045 0.231098  0.13957 0.537968 1.08694 -1.58229 12.341
-211 0.501927  0.133723  -63.565 63.5672  0.13957 0.601964 1.21023 -25.0164 35.4333
211 0.105735  -0.254159  -6.60473 6.61194  0.13957 0.485425 0.998686 -5.91947 16.3401
-211 0.430439  0.565003  1.00909 1.24188  0.13957 0.535159 1.31519 -1.4218 12.4514
211 0.208341  0.0594122  -0.192775 0.321835  0.13957 0.577344 1.20667 -1.84447 12.3593
211 0.298683  1.51946  0.0318203 1.55514  0.13957 0.455731 1.35401 -1.69283 12.3102
111 -0.600127  0.987315  1.04047 1.56068  0.13498 0.316028 1.32865 -1.52037 12.3776
-311 -0.179557  0.171394  -0.202023 0.591647  0.49761 0.354112 1.22199 -1.76855 12.3228
-321 0.00689757  -0.818581  0.869133 1.29199  0.49368 0.419249 0.992212 -1.51747 12.3796
321 -0.0136066  0.256296  0.449147 0.71507  0.49368 0.413 1.25207 -1.53759 12.3665
311 0.542425  0.214281  2.40596 2.52515  0.49761 0.557434 1.21633 -1.07762 12.7628
-321 0.0467877  0.156266  -0.479156 0.707049  0.49368 0.435582 1.22048 -1.87871 12.3812
321 0.500269  -0.756574  -0.167985 1.04624  0.49368 0.513416 1.01661 -1.72896 12.3128
111 -0.272423  -0.190148  -0.260445 0.443195  0.13498 0.267922 1.05655 -1.84018 12.3567
321 -0.0399294  0.21522  -0.163898 0.564355  0.49368 0.403236 1.23982 -1.75675 12.3191
-321 0.0363264  0.586225  -0.602805 0.975742  0.49368 0.427168 1.31194 -1.85189 12.3638
321 -0.412586  0.073348  0.135388 0.661556  0.49368 0.292104 1.18353 -1.65561 12.3145
-211 1.04295  -0.446154  -0.683108 1.33151  0.13957 0.597885 1.08415 -1.8148 12.3428
-211 0.54215  0.928816  2.10619 2.369  0.13957 0.516469 1.33017 -1.31365 12.5439
-211 0.167497  1.05678  0.730501 1.30305  0.13957 0.448455 1.35443 -1.56328 12.3512
-311 -0.93993  -0.0263571  0.356489 1.12199  0.49761 0.24349 1.15629 -1.63075 12.321
211 0.620641  0.341929  0.213933 0.753231  0.13957 0.587395 1.2546 -1.63842 12.3187
-211 0.347874  0.251419  -0.85572 0.967453  0.13957 0.569912 1.27109 -2.07098 12.5358
321 0.534832  0.332568  -0.864438 1.17797  0.49368 0.549704 1.24318 -1.91002 12.4033
-321 0.289094  0.0101538  -0.161422 0.594521  0.49368 0.51752 1.16468 -1.75253 12.3179
211 -0.134405  -0.0298177  -0.174661 0.262564  0.13957 0.282546 1.13117 -1.87266 12.3771
-311 0.366838  0.569736  0.965007 1.27985  0.49761 0.503925 1.2949 -1.47037 12.4133
111 -0.50011  -0.250944  0.862783 1.03716  0.13498 0.246381 1.07515 -1.40109 12.4684
211 -0.222433  0.0599742  0.179307 0.323581  0.13957 0.25488 1.20511 -1.56551 12.3499
311 0.0763013  -0.237335  -1.51282 1.61195  0.49761 0.444877 1.07703 -2.23321 12.6844
111 1.61525  0.617407  -0.968274 1.98646  0.13498 0.601581 1.23142 -1.80702 12.3389
-211 -0.195714  0.105905  -0.0875659 0.276889  0.13957 0.270808 1.24073 -1.76264 12.3209
-311 -0.000419634  -0.185715  -0.0266047 0.531802  0.49761 0.41767 1.09218 -1.70675 12.3104
-211 1.58879  -0.129057  -0.224144 1.61574  0.13957 0.613748 1.14526 -1.72451 12.3121
-321 1.4066  -0.461132  -1.24659 1.99722  0.49368 0.595695 1.10287 -1.8545 12.3654
211 -0.185646  -0.11887  0.0725031 0.270797  0.13957 0.277426 1.07128 -1.64203 12.3177
111 -1.02116  -0.0479715  1.65398 1.94909  0.13498 0.222419 1.152 -1.38036 12.4859
-321 0.172768  -0.188436  -0.270434 0.618232  0.49368 0.479145 1.0943 -1.79285 12.3323
321 -1.20051  0.388108  -0.591068 1.47815  0.49368 0.242981 1.2177 -1.78295 12.3282
-321 -0.0192789  -0.0453454  -0.154882 0.519746  0.49368 0.410158 1.14314 -1.75847 12.3196
211 0.872906  -1.12477  0.66311 1.57679  0.13957 0.538225 1.00604 -1.6054 12.3304
-321 0.491701  -0.152817  -0.494629 0.868044  0.49368 0.553838 1.11891 -1.83369 12.353
111 -0.66641  0.277634  -0.660051 0.987456  0.13498 0.238783 1.23577 -1.8742 12.3782
-211 1.06619  -0.00947891  -1.47129 1.82236  0.13957 0.613469 1.15944 -1.96685 12.4473
111 0.133064  0.284971  0.160029 0.377814  0.13498 0.494542 1.32547 -1.6046 12.3307
111 -0.886494  -0.73136  -0.594272 1.30082  0.13498 0.266657 1.03646 -1.7982 12.3347
111 0.050903  0.345567  0.00391704 0.37449  0.13498 0.444648 1.34327 -1.6948 12.3102
