1 273
211 1.34487  0.446185  -20.3286 20.3784  0.13957 0.18638 0.061835 -2.81725 24.7166 
-211 -0.217386  0.853926  -14.4646 14.4921  0.13957 -0.0480802 0.188867 -3.19921 25.0977 
2212 2.6136  3.05189  3.85352 5.64579  0.93827 0.124987 0.145946 0.184282 22.1625 
321 0.356516  0.614974  0.833069 1.20126  0.49368 0.0812838 0.140211 0.189936 22.1663 
2212 -1.78816  0.837107  -6.96212 7.29725  0.93827 -0.161409 0.0755616 -0.628437 22.5511 
-2112 -1.3565  0.6505  -6.06711 6.32107  0.93957 -0.150907 0.0723664 -0.674951 22.5957 
111 1.70042  0.0340853  -0.117323 1.71014  0.13498 0.196662 0.00394212 -0.013569 22.0902 
-211 1.01439  0.858285  -0.248071 1.35892  0.13957 0.149811 0.126756 -0.0366364 22.0932 
211 1.92717  0.922557  -0.291972 2.16098  0.13957 0.1776 0.0850186 -0.0269068 22.0916 
311 0.101479  0.0230015  -0.467193 0.690443  0.49761 0.0393882 0.00892782 -0.181336 22.1604 
-211 0.251799  -0.369233  78.2552 78.2566  0.13957 0.106118 -0.155609 32.9799 54.8729 
211 0.593947  0.640736  49.505 49.5129  0.13957 0.132463 0.142898 11.0407 32.9349 
311 -0.261629  -0.193404  3.82095 3.86692  0.49761 -0.0868321 -0.064189 1.26813 23.1759 
-311 -0.116755  -0.0894461  0.42522 0.670865  0.49761 -0.0443987 -0.0340139 0.161699 22.1476 
-211 0.282406  0.310025  2.45357 2.49306  0.13957 0.126078 0.138408 1.09538 23.0055 
321 0.0279786  -0.143377  0.887089 1.02566  0.49368 0.0107232 -0.0549515 0.33999 22.2856 
-211 0.104392  -0.19068  210.948 210.949  0.13957 0.0797364 -0.145645 161.126 183.019 
2212 -0.129572  0.422333  130.595 130.599  0.93827 -0.0246534 0.0803563 24.848 46.7412 
-2112 0.687541  -0.187418  74.0851 74.0945  0.93957 0.115044 -0.03136 12.3964 34.2904 
111 -0.0841898  -0.333037  3.38741 3.40746  0.13498 -0.04501 -0.17805 1.811 23.7142 
-211 -0.031033  0.0484001  0.137413 0.204127  0.13957 -0.0405664 0.0632687 0.179626 22.1593 
211 60.2952  -55.7677  -129.316 153.193  0.13957 0.144859 -0.133981 -0.31068 22.2605 
311 89.9678  -83.2748  -192.288 228.044  0.49761 0.144807 -0.134035 -0.309497 22.2595 
-2112 89.0921  -81.8161  -191.118 226.182  0.93957 0.14533 -0.133461 -0.31176 22.2614 
-211 18.1693  -16.8426  -39.1992 46.3723  0.13957 0.144707 -0.134141 -0.312197 22.2618 
211 28.0096  -25.3777  -59.5182 70.5053  0.13957 0.146226 -0.132486 -0.310719 22.2605 
-2212 11.958  -8.19654  -17.1753 22.4955  0.93827 0.162416 -0.111327 -0.233279 22.198 
211 -9.21282  0.853137  15.1425 17.7459  0.13957 -0.196457 0.0181926 0.322903 22.2709 
2112 -3.33017  -0.310275  5.16694 6.22626  0.93957 -0.189147 -0.0176231 0.293472 22.2461 
-2112 -2.74206  0.0242237  6.90256 7.48649  0.93957 -0.186659 0.00164897 0.469875 22.4021 
-211 -1.9351  1.60013  0.097402 2.51674  0.13957 -0.151831 0.125549 0.00764233 22.0899 
111 -0.557079  0.680346  -0.39085 0.971695  0.13498 -0.123561 0.150902 -0.0866912 22.108 
211 -1.65289  1.24215  -0.357916 2.10299  0.13957 -0.157384 0.118274 -0.0340798 22.0927 
111 -15.7155  11.156  -1.44013 19.3268  0.13498 -0.160897 0.114217 -0.0147442 22.0903 
211 -21.0014  15.0151  -2.8938 25.9789  0.13957 -0.160513 0.114759 -0.0221172 22.091 
311 -23.2269  16.8133  -2.25279 28.7663  0.49761 -0.159814 0.115685 -0.0155004 22.0904 
-311 -13.9418  9.37927  -1.49322 16.8767  0.49761 -0.163648 0.110093 -0.0175272 22.0906 
-211 -4.38385  3.81564  0.388959 5.82649  0.13957 -0.148795 0.129509 0.0132019 22.0902 
2212 -10.0875  6.54746  0.574317 12.0763  0.93827 -0.165011 0.107103 0.00939464 22.09 
-211 -1.21693  1.16159  -0.249709 1.70647  0.13957 -0.142246 0.135776 -0.0291882 22.0919 
-2112 -8.00954  5.34405  0.366205 9.68135  0.93957 -0.163363 0.108998 0.00746915 22.0899 
111 -5.48281  3.96088  0.222521 6.76886  0.13498 -0.159917 0.115527 0.00649024 22.0899 
111 -1.32215  0.897895  0.323222 1.63615  0.13498 -0.162657 0.110463 0.0397642 22.0937 
-321 -6.94627  7.81365  -0.667006 10.4877  0.49368 -0.130955 0.147307 -0.0125748 22.0902 
-321 -4.89577  6.3118  -0.954972 8.05996  0.49368 -0.120706 0.155618 -0.023545 22.0912 
2112 -16.3987  19.4328  -4.43659 25.8286  0.93957 -0.12717 0.150698 -0.0344051 22.0928 
-2212 -35.8894  41.9714  -9.89217 56.1104  0.93827 -0.128218 0.149947 -0.0353407 22.0929 
111 -23.2618  27.4358  -5.9648 36.4614  0.13498 -0.127606 0.150504 -0.0327208 22.0925 
111 -10.0325  11.4732  -3.04481 15.5427  0.13498 -0.129883 0.148535 -0.0394189 22.0937 
111 -0.781279  0.544667  11.9544 11.9931  0.13498 -0.160266 0.111729 2.45225 24.3526 
2212 -1.6439  0.0685236  9.21231 9.405  0.93827 -0.171259 0.00713869 0.959724 22.8723 
-211 -0.489539  0.17828  1.07188 1.19993  0.13957 -0.179093 0.0652217 0.392135 22.3314 
211 -0.208322  0.0459626  1.75176 1.77021  0.13957 -0.161243 0.0355755 1.35588 23.2626 
2112 -0.849748  -0.60082  1.24239 1.87333  0.93957 -0.119588 -0.0845553 0.174845 22.1561 
-2212 -0.0876597  -0.00450837  -0.177477 0.958933  0.93827 -0.0183549 -0.000943998 -0.0371615 22.0932 
111 -0.567007  -0.431745  0.435691 0.846136  0.13498 -0.154247 -0.117451 0.118524 22.1226 
321 -0.724899  0.436483  -1.14604 1.50769  0.49368 -0.146008 0.0879158 -0.230835 22.1961 
111 0.400982  -0.319806  -1.17336 1.28766  0.13498 0.149185 -0.118983 -0.436547 22.3715 
2212 -0.123133  -0.243082  -3.4891 3.62332  0.93827 -0.0248676 -0.0490922 -0.704651 22.6242 
-2112 -0.0857496  -0.0625491  -2.50442 2.67697  0.93957 -0.0178945 -0.013053 -0.522632 22.4511 
2212 1.34087  -1.96393  -4.11683 4.84599  0.93827 0.103496 -0.151588 -0.31776 22.2665 
-2112 2.87811  -3.49268  -4.8879 6.72731  0.93957 0.122864 -0.1491 -0.208661 22.1796 
111 -0.0202656  -0.744923  -1.22079 1.43661  0.13498 -0.00528018 -0.194089 -0.318075 22.2668 
-211 0.56103  -0.811497  -2.76691 2.94085  0.13957 0.111105 -0.160707 -0.547954 22.4749 
111 0.637232  -0.780414  -0.525595 1.14437  0.13498 0.123694 -0.151487 -0.102024 22.1146 
111 0.616062  -0.180176  0.326143 0.732519  0.13498 0.185333 -0.0542032 0.0981152 22.1128 
111 0.479018  0.3261  -0.0155425 0.595198  0.13498 0.158858 0.108146 -0.00515442 22.0898 
2212 0.822383  -0.47043  -0.210153 1.34986  0.93827 0.121698 -0.0696152 -0.0310988 22.0922 
-2112 1.85229  0.438384  1.60256 2.65973  0.93957 0.172182 0.0407504 0.148968 22.1397 
-211 1.21814  0.046111  1.50162 1.93916  0.13957 0.195899 0.00741546 0.241487 22.2043 
211 -0.388347  -0.243557  0.333763 0.583961  0.13957 -0.159916 -0.100294 0.13744 22.1329 
-211 0.094232  -0.554519  6.71371 6.73868  0.13957 0.0320846 -0.188805 2.28592 24.1869 
211 0.829724  -0.430039  1.72699 1.96859  0.13957 0.173266 -0.0898025 0.360636 22.3035 
-211 -0.0642305  0.110424  1.58604 1.59728  0.13957 -0.0669851 0.11516 1.65406 23.5582 
-211 -0.497021  -0.617335  8.9163 8.95255  0.13957 -0.121868 -0.151368 2.18624 24.0876 
-2212 -0.0901485  -0.266881  5.35676 5.4456  0.93827 -0.0181577 -0.0537551 1.07896 22.9893 
-211 0.152811  0.262617  6.94267 6.95072  0.13957 0.0901795 0.15498 4.09712 25.9943 
111 -0.264674  0.584588  72.4257 72.4287  0.13498 -0.0796418 0.175905 21.7933 43.6866 
211 -10.1334  8.98121  -1.99178 13.687  0.13957 -0.147661 0.130871 -0.0290236 22.0919 
-211 -0.0564548  -0.0788417  0.204626 0.265997  0.13957 -0.0655468 -0.091539 0.23758 22.2013 
-2112 -1.12687  2.61885  -2.58252 3.95985  0.93957 -0.0740729 0.172145 -0.169757 22.1528 
-211 -0.176725  0.109201  0.00270378 0.250287  0.13957 -0.139334 0.0860962 0.00213172 22.0898 
-211 -0.386132  -0.0829998  -0.21608 0.471336  0.13957 -0.18189 -0.0390977 -0.101786 22.1145 
111 -0.047952  1.22518  -0.77721 1.45796  0.13498 -0.00767058 0.195985 -0.124325 22.1257 
211 -0.260397  0.638614  -0.959686 1.19  0.13957 -0.0730221 0.179084 -0.269121 22.2262 
211 -0.357385  1.04311  -0.190345 1.12761  0.13957 -0.0634489 0.18519 -0.0337932 22.0927 
-2212 -0.286016  1.7852  -0.67955 2.1473  0.93827 -0.0277067 0.172934 -0.0658287 22.1005 
2212 -0.883767  -0.063671  0.155843 1.2999  0.93827 -0.135127 -0.00973525 0.0238283 22.0912 
111 -0.379126  -0.475888  -0.0153276 0.623426  0.13498 -0.120033 -0.150668 -0.00485279 22.0898 
321 0.450606  -0.295681  -2.75911 2.85428  0.49368 0.121652 -0.0798262 -0.744889 22.663 
-321 -1.01969  -0.838918  -3.27362 3.56425  0.49368 -0.142728 -0.117425 -0.458217 22.3914 
321 0.335298  0.116788  -2.82407 2.8888  0.49368 0.1088 0.0378961 -0.916373 22.8298 
211 0.670357  -1.01896  -14.1398 14.193  0.13957 0.107746 -0.163777 -2.27267 24.1737 
2112 0.174118  -0.0650757  -9.80303 9.84971  0.93957 0.0358714 -0.0134068 -2.0196 23.9217 
-2112 0.0326082  -0.207053  -32.5675 32.5818  0.93957 0.00668379 -0.0424402 -6.67544 28.5708 
-211 -0.24196  -0.000666531  -21.5731 21.5749  0.13957 -0.170922 -0.000470842 -15.2394 37.1331 
211 0.711592  0.124744  -31.5119 31.5205  0.13957 0.190828 0.0334526 -8.45057 30.3453 
-211 -0.103926  -0.245183  -38.6576 38.6588  0.13957 -0.0682061 -0.160912 -25.3708 47.264 
-2212 0.57463  0.885872  1.08909 1.78366  0.93827 0.08027 0.123747 0.152135 22.1416 
-211 0.431874  0.411929  0.601626 0.858856  0.13957 0.139033 0.132613 0.193682 22.169 
-321 0.806167  0.114125  -4.01966 4.13089  0.49368 0.167061 0.02365 -0.832991 22.7485 
111 -0.0577378  0.0384874  -2.01598 2.02168  0.13498 -0.0750657 0.050038 -2.621 24.5209 
211 1.87265  1.23114  -0.351196 2.27274  0.13957 0.16456 0.108188 -0.0308617 22.0922 
111 1.75767  0.601364  0.0785753 1.86425  0.13498 0.186204 0.0637074 0.00832414 22.09 
-321 -0.152721  0.37966  6.69788 6.72851  0.49368 -0.0469949 0.116828 2.06106 23.9629 
211 0.169301  0.0742358  10.6837 10.6862  0.13957 0.144222 0.0632389 9.10107 30.9957 
321 0.00355759  0.0498672  2.86694 2.90956  0.49368 0.00141471 0.0198301 1.14006 23.0495 
-211 -0.0164845  -0.37216  0.966758 1.04541  0.13957 -0.0081765 -0.184596 0.479525 22.411 
211 0.0775318  -0.430902  250.774 250.775  0.13957 0.0332918 -0.185027 107.681 129.574 
-211 -0.104045  0.288756  37.894 37.8955  0.13957 -0.0608894 0.168986 22.1763 44.0697 
311 -0.139998  -0.147173  1.6303 1.71661  0.49761 -0.0513971 -0.0540312 0.598526 22.5227 
211 0.232549  0.0963114  0.360295 0.461137  0.13957 0.159433 0.0660302 0.247015 22.2086 
-211 3.80535  -3.18139  -8.31285 9.68116  0.13957 0.151324 -0.126512 -0.330571 22.2774 
111 6.94497  -6.18052  -13.8948 16.7187  0.13498 0.147387 -0.131164 -0.294877 22.2473 
111 1.33591  -1.28278  -3.19838 3.69838  0.13498 0.141951 -0.136306 -0.339853 22.2854 
211 0.96861  -0.722903  -1.93884 2.28897  0.13957 0.15709 -0.117241 -0.314443 22.2637 
-211 4.7593  -3.92834  -7.54436 9.7478  0.13957 0.152138 -0.125575 -0.241167 22.2041 
321 1.22005  -0.724273  -2.11361 2.5931  0.49368 0.160251 -0.0951318 -0.277619 22.2331 
111 1.8525  -1.57  -3.48599 4.25053  0.13498 0.150299 -0.127379 -0.28283 22.2373 
-211 4.60542  -3.49467  -7.36539 9.36435  0.13957 0.157142 -0.119242 -0.251316 22.212 
211 9.39685  -6.81141  -13.4146 17.7389  0.13957 0.159751 -0.115797 -0.228055 22.194 
111 3.76624  -2.20795  -5.07833 6.69831  0.13498 0.170143 -0.0997461 -0.229418 22.1951 
321 5.76146  -4.2046  -7.48712 10.3525  0.49368 0.159009 -0.116042 -0.206635 22.1782 
111 21.4701  -16.0202  -29.3809 39.7601  0.13498 0.158145 -0.118002 -0.216414 22.1853 
211 -3.72258  -0.480193  6.46543 7.47726  0.13957 -0.195563 -0.0252266 0.339657 22.2853 
-211 -5.51905  0.292319  8.79775 10.3906  0.13957 -0.196981 0.0104332 0.314001 22.2633 
211 -1.56434  0.112308  4.06192 4.35642  0.13957 -0.196039 0.0140741 0.509028 22.4384 
-211 -1.44411  0.319048  2.33852 2.77046  0.13957 -0.191822 0.0423791 0.310626 22.2605 
2112 -1.27209  1.51754  2.7337 3.50386  0.93957 -0.114522 0.13662 0.246107 22.2079 
-211 -0.163841  0.633397  2.07055 2.17594  0.13957 -0.048327 0.186828 0.610736 22.5343 
-2112 -0.616462  1.55929  -0.0982951 1.92454  0.93957 -0.0632873 0.16008 -0.0100912 22.09 
211 -1.02899  0.772647  0.0712999 1.29629  0.13957 -0.156869 0.11779 0.0108696 22.0901 
211 -0.807676  0.53687  -0.125681 0.987849  0.13957 -0.162653 0.108117 -0.0253102 22.0914 
-211 -13.1934  9.20594  -1.2821 16.1394  0.13957 -0.161814 0.112909 -0.0157247 22.0904 
-211 -0.359151  0.483188  -0.112899 0.62824  0.13957 -0.11467 0.154273 -0.0360466 22.093 
111 -3.72684  2.62036  -0.104726 4.55904  0.13498 -0.161344 0.113442 -0.00453386 22.0898 
311 -3.62486  4.15683  0.401031 5.55223  0.49761 -0.129161 0.148116 0.0142895 22.0903 
211 -3.99872  3.78432  0.347459 5.51824  0.13957 -0.143269 0.135588 0.0124491 22.0902 
321 -7.55692  9.13429  0.0371607 11.8654  0.49368 -0.125671 0.151903 0.000617981 22.0898 
111 -1.70991  2.0234  -0.283312 2.66766  0.13498 -0.127197 0.150517 -0.021075 22.0909 
211 -5.2124  5.57987  -1.56848 7.79639  0.13957 -0.134675 0.14417 -0.0405255 22.0939 
111 -2.75062  2.78958  -0.310926 3.93225  0.13498 -0.138459 0.140421 -0.0156513 22.0904 
-211 -0.810105  -0.531861  6.11602 6.19389  0.13957 -0.163263 -0.107188 1.23258 23.1407 
111 0.466403  0.239854  2.75103 2.80382  0.13498 0.169938 0.0873928 1.00236 22.9141 
-2112 -0.700493  0.0470976  4.27595 4.43389  0.93957 -0.117845 0.00792334 0.719352 22.6384 
211 -0.51988  -0.137199  3.32404 3.37014  0.13957 -0.184668 -0.0487346 1.18074 23.0896 
211 0.0375026  0.0851893  -0.147098 0.223117  0.13957 0.0441107 0.1002 -0.173017 22.1549 
-211 -0.456127  -0.0807287  0.662143 0.82005  0.13957 -0.186039 -0.0329265 0.270066 22.2269 
-311 -0.314805  0.204486  -0.945743 1.13268  0.49761 -0.0996551 0.0647323 -0.299385 22.251 
-211 0.133358  -0.251065  -0.390005 0.502396  0.13957 0.0830893 -0.156427 -0.242994 22.2055 
321 0.116411  0.118789  -5.23256 5.25843  0.49368 0.0440936 0.0449943 -1.98196 23.8842 
-211 -0.387723  0.373335  -5.92883 5.95485  0.13957 -0.137588 0.132482 -2.10392 24.0056 
-211 -0.135154  0.041213  -8.59544 8.59773  0.13957 -0.134278 0.0409458 -8.53971 30.4344 
